seat,runid,attempt_successful,time_from_start,bridge_yesno,bridge_radio_state,bridge_default_selection,bridge_custom_entry,proxy_yesno,proxy_type,proxy_addr,proxy_port,proxy_username,proxy_password
X01,20160323-131237,T,19.4,F,none,obfs3,,F,,,,,
X01,20160324-132503,T,5.0,F,none,obfs3,,F,,,,,
X01,20160324-132503,T,263.0,F,none,obfs3,,F,,,,,
X01,20160324-132503,T,383.8,F,none,obfs3,,F,,,,,
X01,20160328-131621,T,60.7,T,default,obfs3,,F,HTTP,,,,
X01,20160328-155906,T,9.2,F,none,obfs3,,F,,,,,
X01,20160330-161552,T,6.7,F,none,obfs3,,F,,,,,
X07,20160323-132145,T,75.6,F,none,obfs3,,F,,,,,
X07,20160325-175116,T,5.6,F,none,obfs3,,F,,,,,
X07,20160328-132132,T,6.4,F,none,obfs3,,F,,,,,
X07,20160328-155946,T,8.6,F,none,obfs3,,F,,,,,
X13,20160323-132649,T,5.8,F,none,obfs3,,F,,,,,
X13,20160325-135307,T,9.6,F,none,obfs3,,F,,,,,
X13,20160328-132906,T,20.2,T,default,obfs3,,F,,,,,
X13,20160328-132906,T,329.4,T,default,obfs3,,F,,,,,
X13,20160328-160018,T,3.8,F,none,obfs3,,F,,,,,
X13,20160330-161459,T,19.6,F,none,obfs3,,F,,,,,
X19,20160328-133411,T,2.9,F,none,obfs3,,F,,,,,
X19,20160328-160042,T,2.6,F,none,obfs3,,F,,,,,
X25,20160328-133936,T,7.9,F,none,obfs3,,F,,,,,
X25,20160328-155934,T,8.3,F,none,obfs3,,F,,,,,
X31,20160328-134440,T,6.6,F,none,obfs3,,F,,,,,
X02,20160323-131739,T,20.2,F,none,obfs3,,F,,,,,
X02,20160324-132450,T,34.3,T,default,obfs3,,F,,,,,
X02,20160325-135219,T,18.5,F,none,obfs3,,F,,,,,
X02,20160328-131704,T,8.3,F,none,obfs3,,F,,,,,
X02,20160328-155914,T,124.6,T,default,obfs3,,F,,,,,
X02,20160328-155914,T,437.4,T,default,obfs3,,F,,,,,
X08,20160325-141856,T,312.5,T,default,obfs3,,F,HTTP,128.32.339.21,,,
X08,20160325-175134,F,13.2,F,none,obfs3,,F,,,,,
X08,20160325-175134,T,71.4,T,default,obfs3,,F,,,,,
X08,20160328-132205,T,168.7,T,default,obfs3,,F,,,,,
X08,20160328-155945,T,85.1,F,default,obfs3,,F,,,,,
