session,seat,userid,env,version,runid,good,comment
20160323-1400,X01,17,E1,NEW,20160323-131237,T,
20160323-1400,X02,25,E1,OLD,20160323-131739,T,
20160323-1400,X03,49,E2,NEW,20160323-131622,T,
20160323-1400,X04,58,E2,OLD,20160323-131714,T,
20160323-1400,X05,122,E3,NEW,20160323-131924,F,did not sign consent form
20160323-1400,X06,99,E3,OLD,20160323-131957,T,
20160323-1400,X07,19,E1,NEW,20160323-132145,T,
20160323-1400,X08,117,E1,OLD,20160323-132206,F,did not sign consent form
20160323-1400,X09,40,E2,NEW,20160323-132434,T,
20160323-1400,X10,120,E2,OLD,20160323-132505,F,"missing log, downloaded own Tor (5.5.3)"
20160323-1400,X11,83,E3,NEW,20160323-132549,T,
20160323-1400,X12,98,E3,OLD,20160323-132600,T,
20160323-1400,X13,9,E1,NEW,20160323-132649,T,
20160323-1400,X14,21,E1,OLD,20160323-132643,T,
20160323-1400,X15,41,E2,NEW,20160323-132627,T,
20160323-1400,X16,60,E2,OLD,20160323-132616,T,
20160323-1400,X17,93,E3,NEW,20160323-133002,T,
20160323-1400,X18,105,E3,OLD,20160323-133013,T,
20160323-1400,X21,57,E2,NEW,20160323-133257,F,"tried our Tor Browser, failed, then downloaded own Tor Browser 5.5.4 and succeeded with obfs4"
20160323-1400,X23,95,E3,NEW,20160323-133346,T,
20160324-1400,X01,7,E1,NEW,20160324-132503,T,
20160324-1400,X02,28,E1,OLD,20160324-132450,T,
20160324-1400,X03,56,E2,NEW,20160324-132509,T,
20160324-1400,X04,65,E2,OLD,20160324-132523,T,
20160324-1400,X05,90,E3,NEW,20160324-132535,T,
20160324-1600,X04,64,E2,OLD,20160324-155023,T,
20160324-1600,X05,88,E3,NEW,20160324-155019,T,
20160324-1600,X06,104,E3,OLD,20160324-155002,T,
20160325-1400,X02,26,E1,OLD,20160325-135219,T,
20160325-1400,X08,38,E1,OLD,20160325-141856,T,
20160325-1400,X12,111,E3,OLD,20160325-140813,T,
20160325-1400,X13,12,E1,NEW,20160325-135307,T,
20160325-1800,X03,44,E2,NEW,20160325-175037,T,
20160325-1800,X06,107,E3,OLD,20160325-175101,T,
20160325-1800,X07,5,E1,NEW,20160325-175116,T,
20160325-1800,X08,31,E1,OLD,20160325-175134,T,
20160328-1400,X01,18,E1,NEW,20160328-131621,T,
20160328-1400,X02,20,E1,OLD,20160328-131704,T,
20160328-1400,X03,48,E2,NEW,20160328-131745,T,
20160328-1400,X04,73,E2,OLD,20160328-131820,T,
20160328-1400,X05,81,E3,NEW,20160328-132029,T,
20160328-1400,X06,124,E3,OLD,20160328-132053,F,"had to leave early, left without being paid"
20160328-1400,X07,6,E1,NEW,20160328-132132,T,
20160328-1400,X08,37,E1,OLD,20160328-132205,T,
20160328-1400,X09,50,E2,NEW,20160328-132425,T,
20160328-1400,X10,75,E2,OLD,20160328-132828,T,
20160328-1400,X11,84,E3,NEW,20160328-132535,T,
20160328-1400,X12,97,E3,OLD,20160328-132605,T,
20160328-1400,X13,15,E1,NEW,20160328-132906,T,
20160328-1400,X14,36,E1,OLD,20160328-132941,T,
20160328-1400,X15,51,E2,NEW,20160328-133005,T,
20160328-1400,X16,68,E2,OLD,20160328-133044,T,
20160328-1400,X17,82,E3,NEW,20160328-133311,T,
20160328-1400,X18,103,E3,OLD,20160328-133350,T,
20160328-1400,X19,2,E1,NEW,20160328-133411,T,
20160328-1400,X20,27,E1,OLD,20160328-133444,T,
20160328-1400,X21,46,E2,NEW,20160328-133650,T,
20160328-1400,X22,69,E2,OLD,20160328-133742,T,
20160328-1400,X23,78,E3,NEW,20160328-133820,T,
20160328-1400,X24,114,E3,OLD,20160328-133857,T,
20160328-1400,X25,8,E1,NEW,20160328-133936,T,
20160328-1400,X26,35,E1,OLD,20160328-134003,T,
20160328-1400,X27,52,E2,NEW,20160328-134034,T,
