Time Started,Date Submitted,What is your participant ID? (This can be found on the sticker on the left hand corner of desk you are currently sitting at.)Â ,What is your gender?Â ,What is your age?Â ,Please select your highest completed (or current) level or education.
3/23/16 14:12,3/23/16 14:13,x13,Male,45,College/Trade School
3/23/16 14:14,3/23/16 14:14,x-14,Male,41,College/Trade School
3/23/16 14:16,3/23/16 14:17,X09,Male,33,College/Trade School
3/23/16 14:15,3/23/16 14:16,X15,Male,56,Graduate/Advanced Education
3/23/16 14:17,3/23/16 14:17,x01,Female,29,College/Trade School
3/23/16 14:17,3/23/16 14:18,X07,Female,25,College/Trade School
3/23/16 14:17,3/23/16 14:17,x08,Female,38,College/Trade School
3/23/16 14:19,3/23/16 14:19,X03,Female,24,College/Trade School
3/23/16 14:20,3/23/16 14:20,X16,Male,32,Graduate/Advanced Education
3/23/16 14:21,3/23/16 14:22,X11,Female,60,College/Trade School
3/23/16 14:22,3/23/16 14:23,X05,Female,62,Graduate/Advanced Education
3/23/16 14:21,3/23/16 14:22,x12,Male,27,College/Trade School
3/23/16 14:22,3/23/16 14:22,x10,Male,37,College/Trade School
3/23/16 14:22,3/23/16 14:23,x02,Female,62,College/Trade School
3/23/16 14:36,3/23/16 14:38,xo6,Male,55,Some High School
3/23/16 14:46,3/23/16 14:47,x04,Male,18,High School/GED
3/23/16 14:49,3/23/16 14:49,x18,Male,27,High School/GED
3/23/16 14:58,3/23/16 14:59,x17,Male,46,College/Trade School
3/23/16 15:02,3/23/16 15:02,x21,Female,29,College/Trade School
3/24/16 14:07,3/24/16 14:08,x01,Male,28,College/Trade School
3/24/16 14:08,3/24/16 14:09,X02,Male,27,Graduate/Advanced Education
3/24/16 14:11,3/24/16 14:11,X03,Male,27,College/Trade School
3/24/16 14:12,3/24/16 14:13,X04,Female,35,Graduate/Advanced Education
3/24/16 14:12,3/24/16 14:13,x05,Male,44,Graduate/Advanced Education
3/24/16 16:29,3/24/16 16:30,xo4,Male,36,Graduate/Advanced Education
3/24/16 16:41,3/24/16 16:42,x05,Male,24,College/Trade School
3/24/16 16:42,3/24/16 16:43,x06,Female,26,Graduate/Advanced Education
3/25/16 14:22,3/25/16 14:23,x13,Male,24,College/Trade School
3/25/16 14:23,3/25/16 14:24,xo2,Male,68,College/Trade School
3/25/16 14:30,3/25/16 14:30,X08,Female,27,College/Trade School
3/25/16 14:58,3/25/16 14:59,x12,Male,39,High School/GED
3/25/16 18:11,3/25/16 18:12,X03,Male,26,High School/GED
3/25/16 18:12,3/25/16 18:12,X07,Female,25,College/Trade School
3/25/16 18:16,3/25/16 18:16,X08,Female,26,Graduate/Advanced Education
3/25/16 18:51,3/25/16 18:51,x06,Female,24,Graduate/Advanced Education
3/28/16 14:21,3/28/16 14:22,x07,Male,19,High School/GED
3/28/16 14:21,3/28/16 14:22,X25,Female,20,College/Trade School
3/28/16 14:22,3/28/16 14:22,X19,Male,20,College/Trade School
3/28/16 14:22,3/28/16 14:22,X02,Female,18,High School/GED
3/28/16 14:22,3/28/16 14:23,X15,Male,20,College/Trade School
3/28/16 14:23,3/28/16 14:23,32,Male,19,High School/GED
3/28/16 14:23,3/28/16 14:24,X20,Female,23,College/Trade School
3/28/16 14:25,3/28/16 14:26,X03,Male,20,College/Trade School
3/28/16 14:24,3/28/16 14:25,8,Female,19,College/Trade School
3/28/16 14:25,3/28/16 14:25,X31,Female,20,College/Trade School
3/28/16 14:25,3/28/16 14:25,X13,Female,22,College/Trade School
3/28/16 14:26,3/28/16 14:27,X21,Female,20,College/Trade School
3/28/16 14:26,3/28/16 14:27,X01,Female,20,College/Trade School
3/28/16 14:27,3/28/16 14:28,X14,Male,23,College/Trade School
3/28/16 14:27,3/28/16 14:27,X09,Female,19,High School/GED
3/28/16 14:28,3/28/16 14:28,X26,Male,20,College/Trade School
3/28/16 14:28,3/28/16 14:28,X12,Female,18,College/Trade School
3/28/16 14:29,3/28/16 14:29,x23,Male,21,College/Trade School
3/28/16 14:30,3/28/16 14:31,x28,Female,24,College/Trade School
3/28/16 14:30,3/28/16 14:30,X05,Female,20,College/Trade School
3/28/16 14:31,3/28/16 14:31,x22,Female,20,High School/GED
3/28/16 14:32,3/28/16 14:33,27,Male,21,College/Trade School
3/28/16 14:33,3/28/16 14:33,X17,Female,21,College/Trade School
3/28/16 14:36,3/28/16 14:36,16,Male,21,College/Trade School
3/28/16 14:36,3/28/16 14:37,x25,Female,20,College/Trade School
3/28/16 14:39,3/28/16 14:39,X29,Female,21,College/Trade School
3/28/16 14:39,3/28/16 14:40,X11,Female,20,College/Trade School
3/28/16 14:49,3/28/16 14:49,X18,Female,19,College/Trade School
3/28/16 14:54,3/28/16 14:55,X04,Female,33,College/Trade School
3/28/16 15:00,3/28/16 15:00,24,Female,21,College/Trade School
3/28/16 15:01,3/28/16 15:01,X10,Female,20,College/Trade School
